Palavra,Link,Instituicao
acreditar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acreditarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acrescentar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acrescentarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acrobata1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acrobata1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acrobata2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acrobata2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acuado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acuadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acuar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acuarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acucar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acucarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acumular,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acumularSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acupuntura,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acupunturaSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acusar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acusarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adernar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adernarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adesivo,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adesivoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adeus1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adeusSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adeus2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adeus2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adiantado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adiantadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adiar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adiarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adicionar1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adicionar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adicionar2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adicionar2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adivinhar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adivinharSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adjetivos,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adjetivoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adjunto,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adjuntoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
administracao,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/administracaoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
administrar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/administrarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
admirado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/admiradoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
admirar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/admirarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
admissao,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/admissaoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
admitir1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/admitir1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
admitir2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/admitir2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adocante,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adocanteSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adocar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adocarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adoecer,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adoecerSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adoidar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adoidarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adolescente1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adolescente1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adolescente2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adolescente2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adorar1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adorar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adorar2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adorar2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adormecer,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adormecerSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adotar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adotarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adotivo,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adotivoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adular,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adularSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adulterio,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adulterioSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adulto,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adultoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
adventista,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/adventistaSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
advertir1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/advertir1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
advertir2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/advertir2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
advogado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/advogadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aerobarco1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aerobarco1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aerobarco2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aerobarco2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aeromoca,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aeromocaSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aeronautica,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aeronauticaSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aeroporto,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aeroportoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aerossol,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aerossolSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aerostato,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aerostatoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
afamado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/afamadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
afastado1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/afastado1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
afastado2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/afastado2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
afastar1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/afastar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
afastar2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/afastar2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
afeicao,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/afeicaoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aferir1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aferir1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aferir2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aferir2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
afeto,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/afetoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
afiado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/afiadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
afiar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/afiarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
afilhado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/afilhadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
afinidade,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/afinidadeSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
